"author.id.oape","author.id.viaf","author.name","author.birth","author.death","Target","publication.title","word.count","character.count","Weight","Source"
NA,NA,NA,NA,NA,"4770057679","al-Muqtabas",1243773,5632148,2592,NA
NA,NA,NA,NA,NA,"472450345","Lughat al-ʿArab",205355,895865,787,NA
NA,NA,NA,NA,NA,"644997575","al-Ḥaqāʾiq",201669,889708,228,NA
NA,NA,NA,NA,NA,"792756327","al-Ḥasnāʾ",759,3160,111,NA
"396",NA,"كاظم الدجيلي","1884","1970","472450345","Lughat al-ʿArab",37233,162076,27,"kaZm aldjyly"
"411","14924300","معروف الرصافي","1875-01-01","1945-01-01","4770057679","al-Muqtabas",13730,58230,27,"m3rwf alrSafy"
"533","40250618","عيسى اسكندر المعلوف","1869-04-11","1956-07-02","4770057679","al-Muqtabas",23363,105688,20,"3ysA askndr alm3lwf"
"1725","97152636060620050511","رزوق عيسى","1885","1940","472450345","Lughat al-ʿArab",17303,78657,16,"rzwQ 3ysA"
"227","39370998","ساتسنا","1866-08-05","1947-01-07","4770057679","al-Muqtabas",19868,87464,14,"satsna"
"647",NA,"إبراهيم حلمي العمر","1890","1942","472450345","Lughat al-ʿArab",20550,93124,13,"abrahym 7lmy al3mr"
"1205",NA,"إبراهيم منيب الباججي",NA,NA,"472450345","Lughat al-ʿArab",1733,7205,13,"abrahym mnyb albajjy"
"878","32272677","محمد كرد علي","1876-01-01","1953-01-01","4770057679","al-Muqtabas",51526,239829,13,"m7md krd 3ly"
"704",NA,"يوسف جرجس زخم","1880-05-14",NA,"4770057679","al-Muqtabas",21624,97264,13,"ywsf jrjs zKm"
"1845","21058435","سليمان الدخيل |صاحب جريدة الرياض","1877","1945-12-28","472450345","Lughat al-ʿArab",15062,66282,10,"slyman aldKyl |Sa7b jryd0 alryaD"
"492",NA,"عبد الرحمن القصار","1863","1931","644997575","al-Ḥaqāʾiq",2271,9744,10,"3bd alr7mn alQSar"
"613","19737865","أحمد تيمور","1871-11-06","1930","4770057679","al-Muqtabas",10082,43276,9,"a7md tymwr"
"647",NA,"إبراهيم حلمي العمر","1890","1942","4770057679","al-Muqtabas",20197,93120,9,"abrahym 7lmy al3mr"
"482","93607460","جمال الدين القاسمي","1866-10-01","1914-04-18","4770057679","al-Muqtabas",38553,165158,8,"jmal aldyn alQasmy"
"429","22006374","محمد رضا الشبيبي","1889-01-01","1965-01-01","4770057679","al-Muqtabas",19964,88311,8,"m7md rDa alWbyby"
"707","49218655","أحمد زكي","1866-05-26","1934-07-06","4770057679","al-Muqtabas",40396,179694,7,"a7md zky"
"923",NA,"إبراهيم خليل مردم بك",NA,NA,"644997575","al-Ḥaqāʾiq",4799,19477,7,"abrahym Klyl mrdm bk"
"632","305214884","جرجي حداد",NA,"1916-05-06","4770057679","al-Muqtabas",26529,117370,7,"jrjy 7dad"
"245","32410755","حافظ إبراهيم","1871-04-24","1932-06-21","4770057679","al-Muqtabas",11023,47657,7,"7afZ abrahym"
"464","28125663","رفيق العظم","1865-01-01","1925-06-30","4770057679","al-Muqtabas",13242,60390,7,"rfyQ al3Zm"
"536","118432135","عبد القادر المغربي","1867","1956-06-07","4770057679","al-Muqtabas",14088,62440,7,"3bd alQadr almGrby"
"980","53094077","محمد فريد وجدي","1875","1954","644997575","al-Ḥaqāʾiq",9152,41162,6,"m7md fryd wjdy"
"2845",NA,"مريم زكا",NA,NA,"792756327","al-Ḥasnāʾ",61,299,6,"mrym zka"
"724",NA,"خليل سعد",NA,NA,"4770057679","al-Muqtabas",5932,27420,5,"Klyl s3d"
"797","50793892","سليمان ظاهر","1873","1960","4770057679","al-Muqtabas",4464,20312,5,"slyman Zahr"
"741","68935764","شارل سنيوبوس","1854-09-10","1942-04-24","4770057679","al-Muqtabas",60985,286143,5,"Warl snywbws"
"460","160786315","شكري العسلي","1868","1916-05-06","4770057679","al-Muqtabas",11515,52168,5,"Wkry al3sly"
"242","73935498","شكيب أرسلان","1869-12-25","1946-12-09","4770057679","al-Muqtabas",4861,21355,5,"Wkyb arslan"
"917","299037057","عبد الله مخلص","1878","1947","4770057679","al-Muqtabas",13541,59606,5,"3bd allh mKlS"
"2844","219321857","ماري عجمي","1888-05-14","1965-12-25","792756327","al-Ḥasnāʾ",54,253,5,"mary 3jmy"
"566",NA,"محمد الهاشمي",NA,NA,"472450345","Lughat al-ʿArab",1883,7994,5,"m7md alhaWmy"
"547","299025643","محمد عارف المنير",NA,NA,"644997575","al-Ḥaqāʾiq",3151,13809,5,"m7md 3arf almnyr"
"410","236524859","مصطفى صادق الرافعي","1880-01-01","1937-05-14","4770057679","al-Muqtabas",2981,12740,5,"mSTfA SadQ alraf3y"
"981","51840827","John Wortabet","1827","1908","4770057679","al-Muqtabas",2006,8591,4,"John Wortabet"
"185","89743196","ابن المقفع","0724-01-01","0759-01-01","4770057679","al-Muqtabas",15518,65411,4,"abn almQf3"
"415","15578201","خير الدين الزركلي","1893-06-25","1976-11-25","4770057679","al-Muqtabas",1060,4592,4,"Kyr aldyn alzrkly"
"729",NA,"سلوى سلامة",NA,NA,"792756327","al-Ḥasnāʾ",54,252,4,"slwA slam0"
"825","46611500","سليم عنحوري","1855","1933","4770057679","al-Muqtabas",9643,44382,4,"slym 3n7wry"
"438","58892856","صالح الشريف","1869","1920","644997575","al-Ḥaqāʾiq",5003,23416,4,"Sal7 alWryf"
"483","305212906","صلاح الدين القاسمي","1887","1916","4770057679","al-Muqtabas",10650,47834,4,"Sla7 aldyn alQasmy"
"7",NA,"ع",NA,NA,"644997575","al-Ḥaqāʾiq",2867,13381,4,"3"
"766","65658340","عبد الرحمن شهبندر","1882-01-01","1940-01-01","4770057679","al-Muqtabas",7566,34674,4,"3bd alr7mn Whbndr"
"386","30478485","فارس الخوري","1873","1962","4770057679","al-Muqtabas",5656,26621,4,"fars alKwry"
"375","38333734","محب الدين الخطيب","1886-01-01","1969-12-30","4770057679","al-Muqtabas",3838,17837,4,"m7b aldyn alKTyb"
"223","51567828","محمد القاسمي الحلاق","1843","1900","644997575","al-Ḥaqāʾiq",10156,43432,4,"m7md alQasmy al7laQ"
"428",NA,"محمد باقر الشبيبي",NA,NA,"472450345","Lughat al-ʿArab",3108,14085,4,"m7md baQr alWbyby"
"429","22006374","محمد رضا الشبيبي","1889-01-01","1965-01-01","472450345","Lughat al-ʿArab",4192,18782,4,"m7md rDa alWbyby"
"153",NA,"محمد سليم الحنفي",NA,NA,"644997575","al-Ḥaqāʾiq",563,2483,4,"m7md slym al7nfy"
"625","62350636","محمد لطفي جمعة","1886-01-18","1953-06-15","4770057679","al-Muqtabas",4379,19674,4,"m7md lTfy jm30"
"512","267054449","مختار المؤيد","1822","1921","644997575","al-Ḥaqāʾiq",953,4082,4,"mKtar almoyd"
"1",NA,"أبو الضيا",NA,NA,"644997575","al-Ḥaqāʾiq",5098,23341,3,"abw alDya"
"236","44512503","Lucien Bouvat","1872-01-01","1942-01-01","4770057679","al-Muqtabas",7149,34052,3,"Lucien Bouvat"
"687","97055208","أحمد رضا","1872-06-04","1953-07-07","4770057679","al-Muqtabas",7741,33968,3,"a7md rDa"
"2883",NA,"أحمد الجوبري",NA,NA,"644997575","al-Ḥaqāʾiq",1156,5017,3,"a7md aljwbry"
"698","17374300","أمين ريحاني","1876-11-24","1940-09-13","4770057679","al-Muqtabas",1709,7883,3,"amyn ry7any"
"65",NA,"احمد الباشا",NA,NA,"644997575","al-Ḥaqāʾiq",4274,21157,3,"a7md albaWa"
"216",NA,"ج. ص.",NA,NA,"4770057679","al-Muqtabas",1648,7107,3,"j. S."
"713","76496271","جرجي زيدان | جرجي زيدان","1861-12-14","1914-07-21","472450345","Lughat al-ʿArab",6863,29203,3,"jrjy zydan | jrjy zydan"
"579","311789687","جرجي نقولا باز","1881","1959","4770057679","al-Muqtabas",4072,19741,3,"jrjy nQwla baz"
"382","41830998","خليل الخوري","1836","1910","4770057679","al-Muqtabas",4936,22260,3,"Klyl alKwry"
"1845","21058435","سليمان الدخيل | سليمان الدخيل","1877","1945-12-28","472450345","Lughat al-ʿArab",2498,10590,3,"slyman aldKyl | slyman aldKyl"
"1888",NA,"شحادة شحادة",NA,NA,"792756327","al-Ḥasnāʾ",39,187,3,"W7ad0 W7ad0"
"416",NA,"صلاح الدين الزعيم",NA,NA,"644997575","al-Ḥaqāʾiq",2448,10826,3,"Sla7 aldyn alz3ym"
"184",NA,"عبد الوهاب",NA,NA,"4770057679","al-Muqtabas",3228,14964,3,"3bd alwhab"
"2947",NA,"عراقي",NA,NA,"472450345","Lughat al-ʿArab",3245,13981,3,"3raQy"
"2089",NA,"عمانوئيل فتح الله عمانوئيل",NA,NA,"472450345","Lughat al-ʿArab",2916,13170,3,"3manw5yl ft7 allh 3manw5yl"
"411","14924300","معروف الرصافي","1875-01-01","1945-01-01","792756327","al-Ḥasnāʾ",41,189,3,"m3rwf alrSafy"
"910","60500457","أحمد محرم","1877","1945","4770057679","al-Muqtabas",522,2247,2,"a7md m7rm"
"910","60500457","أحمد محرم","1877","1945","644997575","al-Ḥaqāʾiq",1021,4670,2,"a7md m7rm"
"3",NA,"ا. ج",NA,NA,"4770057679","al-Muqtabas",596,2806,2,"a. j"
"3272",NA,"البر كسبرخان",NA,NA,"472450345","Lughat al-ʿArab",1703,7048,2,"albr ksbrKan"
"316","2147904944379090892","البلخي","0849","0934-01-01","4770057679","al-Muqtabas",5252,23996,2,"alblKy"
"870","73956120","المسيو انطوان كاباتون","1863-12-11","1942-11-25","4770057679","al-Muqtabas",6386,30669,2,"almsyw anTwan kabatwn"
"2841","167736381","الياس عطا الله","1950",NA,"792756327","al-Ḥasnāʾ",18,69,2,"alyas 3Ta allh"
NA,NA,"ج",NA,NA,"4770057679","al-Muqtabas",966,3885,2,"j"
"2846",NA,"جرجس توما",NA,NA,"792756327","al-Ḥasnāʾ",20,84,2,"jrjs twma"
"3580",NA,"جعفر بن شمس الخلافة",NA,NA,"644997575","al-Ḥaqāʾiq",801,3092,2,"j3fr bn Wms alKlaf0"
"1551","70069360","جوليا طعمة","1880","1954","792756327","al-Ḥasnāʾ",24,113,2,"jwlya T3m0"
"874","26023001","حبيب جرجي كحالة",NA,NA,"4770057679","al-Muqtabas",2827,12870,2,"7byb jrjy k7al0"
"96",NA,"حسني عبد الهادي",NA,NA,"4770057679","al-Muqtabas",6136,28821,2,"7sny 3bd alhady"
"688","356146152116005212782","حسين وصفي رضا","1882","1911","4770057679","al-Muqtabas",332,1398,2,"7syn wSfy rDa"
"924","76430365","خليل مردم بك","1895-01-01","1959-01-01","4770057679","al-Muqtabas",3606,15654,2,"Klyl mrdm bk"
"100",NA,"ر. ب.",NA,NA,"4770057679","al-Muqtabas",3408,15191,2,"r. b."
"102",NA,"ز. خ",NA,NA,"4770057679","al-Muqtabas",6530,32310,2,"z. K"
"436","96962923","سعيد الشرتوني","1849","1912-08-18","4770057679","al-Muqtabas",3223,13914,2,"s3yd alWrtwny"
"298",NA,"سليم البخاري",NA,NA,"4770057679","al-Muqtabas",3943,17685,2,"slym albKary"
"1845","21058435","سليمان الدخيل","1877","1945-12-28","472450345","Lughat al-ʿArab",2445,11106,2,"slyman aldKyl"
"829","305214718","سليمان غزالة","1854","1929","4770057679","al-Muqtabas",2323,10679,2,"slyman Gzal0"
NA,NA,"ش",NA,NA,"4770057679","al-Muqtabas",3320,14509,2,"W"
"1899",NA,"شكري الفضلي",NA,NA,"472450345","Lughat al-ʿArab",3940,17834,2,"Wkry alfDly"
NA,NA,"ص",NA,NA,"4770057679","al-Muqtabas",4480,20655,2,"S"
"3715",NA,"صلاح الدين",NA,NA,"644997575","al-Ḥaqāʾiq",1600,7102,2,"Sla7 aldyn"
"638","225088570","طه حسين","1889-11-14","1973-10-28","4770057679","al-Muqtabas",9095,41157,2,"Th 7syn"
"497","27190968","عبد الحميد الكاتب",NA,"0750-01-01","4770057679","al-Muqtabas",11680,52554,2,"3bd al7myd alkatb"
"1980","267152261514217180001","عبد الرحمن البناء","1882","1952","472450345","Lughat al-ʿArab",749,3174,2,"3bd alr7mn albnaq"
"516",NA,"عبد القادر المبارك",NA,NA,"644997575","al-Ḥaqāʾiq",90,369,2,"3bd alQadr almbark"
"891",NA,"عبد القادر كيوان",NA,NA,"644997575","al-Ḥaqāʾiq",137,571,2,"3bd alQadr kywan"
"3765",NA,"عبد اللطيف ثنيان",NA,NA,"472450345","Lughat al-ʿArab",1047,4452,2,"3bd allTyf Unyan"
"3771",NA,"عبد المجيد القصاب",NA,NA,"644997575","al-Ḥaqāʾiq",1405,6418,2,"3bd almjyd alQSab"
"533","40250618","عيسى اسكندر المعلوف","1869-04-11","1956-07-02","792756327","al-Ḥasnāʾ",20,82,2,"3ysA askndr alm3lwf"
"3823",NA,"فارس النجار",NA,NA,"644997575","al-Ḥaqāʾiq",822,3613,2,"fars alnjar"
"978","29641421","كلمان هوار","1854-02-16","1926-12-30","4770057679","al-Muqtabas",6315,28918,2,"klman hwar"
NA,NA,"لبنانية",NA,NA,"792756327","al-Ḥasnāʾ",14,63,2,"lbnany0"
"141",NA,"م. ي",NA,NA,"644997575","al-Ḥaqāʾiq",87,332,2,"m. y"
"456","17087051","محمد الطباع",NA,NA,"644997575","al-Ḥaqāʾiq",2887,12216,2,"m7md alTba3"
"786","63117968","محمد راغب طباخ","1877","1951","4770057679","al-Muqtabas",1944,8640,2,"m7md raGb TbaK"
"152",NA,"محمد سعيد إياس",NA,NA,"644997575","al-Ḥaqāʾiq",130,551,2,"m7md s3yd ayas"
"264","47005120","محمود شكري الآلوسي","1857-05-14","1924-05-08","4770057679","al-Muqtabas",3625,15817,2,"m7mwd Wkry alalwsy"
"370",NA,"محي الدين الخاني",NA,NA,"644997575","al-Ḥaqāʾiq",74,315,2,"m7y aldyn alKany"
"2435",NA,"محيي الدين فيض الله الكيلاني",NA,NA,"472450345","Lughat al-ʿArab",759,3448,2,"m7yy aldyn fyD allh alkylany"
"2446",NA,"مرج",NA,NA,"472450345","Lughat al-ʿArab",2198,9918,2,"mrj"
"475","265101315","مصطفى الغلاييني","1886-01-01","1944","4770057679","al-Muqtabas",457,1895,2,"mSTfA alGlayyny"
"2839","233275351","وردة اليازجي","1838-01-20","1924","792756327","al-Ḥasnāʾ",15,68,2,"wrd0 alyazjy"
"2773",NA,"يوسف لويس الكرملي",NA,NA,"472450345","Lughat al-ʿArab",4206,18410,2,"ywsf lwys alkrmly"
"1",NA,"أبو الضيا
",NA,NA,"4770057679","al-Muqtabas",738,3354,1,"abw alDya
"
"10",NA,"أ. ز. أ",NA,NA,"4770057679","al-Muqtabas",590,2562,1,"a. z. a"
"1023",NA,"أبو المحاسن محمد حسن",NA,NA,"472450345","Lughat al-ʿArab",332,1427,1,"abw alm7asn m7md 7sn"
NA,NA,"أبو اليسر ابراهيم بن محمد بن المدبر",NA,NA,"4770057679","al-Muqtabas",5689,25084,1,"abw alysr abrahym bn m7md bn almdbr"
"3052",NA,"أبي حامد الغزالي",NA,NA,"472450345","Lughat al-ʿArab",1458,6539,1,"aby 7amd alGzaly"
"654",NA,"أحمد إبراهيم خربوطلي",NA,NA,"4770057679","al-Muqtabas",711,3483,1,"a7md abrahym KrbwTly"
"451",NA,"أحمد الصابوني",NA,NA,"644997575","al-Ḥaqāʾiq",183,756,1,"a7md alSabwny"
"768","7540373","أحمد شوقي","1868-12-25","1932-10-23","4770057679","al-Muqtabas",343,1503,1,"a7md WwQy"
"884",NA,"أحمد كمال",NA,NA,"4770057679","al-Muqtabas",4067,18909,1,"a7md kmal"
"1062",NA,"أحمد رفيق",NA,NA,"472450345","Lughat al-ʿArab",1598,6956,1,"a7md rfyQ"
"3118",NA,"أحمد عبيد",NA,NA,"644997575","al-Ḥaqāʾiq",44,177,1,"a7md 3byd"
"661","305215014","أمين ظاهر خير الله","1948","1948","4770057679","al-Muqtabas",364,1549,1,"amyn Zahr Kyr allh"
"559","51537156","إسعاف النشاشيبي",NA,NA,"4770057679","al-Muqtabas",163,712,1,"as3af alnWaWyby"
"777","45752632","إسماعيل صبري","1854","1923","4770057679","al-Muqtabas",171,719,1,"asma3yl Sbry"
"1297",NA,"ا . ح",NA,NA,"644997575","al-Ḥaqāʾiq",1651,7707,1,"a . 7"
"3",NA,"ا. ج",NA,NA,"644997575","al-Ḥaqāʾiq",43,170,1,"a. j"
"45","305409071","ابن الأعرابي |ابن الأعرابي","0767","0846","4770057679","al-Muqtabas",1808,7556,1,"abn ala3raby |abn ala3raby"
NA,NA,"ابن الأمير محمد سعيد|محمد سعيد |محمد سعيد",NA,NA,"644997575","al-Ḥaqāʾiq",488,2214,1,"abn alamyr m7md s3yd|m7md s3yd |m7md s3yd"
"168","12338225","ابن تيمية","1263-01-22","1328-09-26","644997575","al-Ḥaqāʾiq",100,458,1,"abn tymy0"
NA,NA,"ابن كمال باشا",NA,NA,"4770057679","al-Muqtabas",1909,8638,1,"abn kmal baWa"
"63",NA,"ابو السعود مراد",NA,NA,"644997575","al-Ḥaqāʾiq",261,1095,1,"abw als3wd mrad"
NA,NA,"احمد أفندي نسيم",NA,NA,"4770057679","al-Muqtabas",102,428,1,"a7md afndy nsym"
NA,NA,"استير موايال",NA,NA,"792756327","al-Ḥasnāʾ",12,65,1,"astyr mwayal"
"2840",NA,"اسما سيور",NA,NA,"792756327","al-Ḥasnāʾ",7,26,1,"asma sywr"
NA,NA,"اسما بللمع",NA,NA,"792756327","al-Ḥasnāʾ",7,27,1,"asma bllm3"
"3227",NA,"الأب لويس الكرملي",NA,NA,"472450345","Lughat al-ʿArab",1094,4876,1,"alab lwys alkrmly"
"1306",NA,"الأبيل نرسيس صائغيان",NA,NA,"472450345","Lughat al-ʿArab",853,3840,1,"alabyl nrsys Sa5Gyan"
"3237",NA,"الأستاذ الدكتور اغناز غولدزيهر",NA,NA,"472450345","Lughat al-ʿArab",175,758,1,"alastai aldktwr aGnaz Gwldzyhr"
"303",NA,"البرسيم",NA,NA,"4770057679","al-Muqtabas",102,433,1,"albrsym"
"3273",NA,"الجنرال بريكولا",NA,NA,"644997575","al-Ḥaqāʾiq",609,2912,1,"aljnral brykwla"
NA,NA,"الحسين بن المصطفى الحلبي",NA,NA,"4770057679","al-Muqtabas",1982,8441,1,"al7syn bn almSTfA al7lby"
NA,NA,"الدجيلي",NA,NA,"472450345","Lughat al-ʿArab",490,2144,1,"aldjyly"
NA,NA,"الدكتور بورتو",NA,NA,"4770057679","al-Muqtabas",649,2986,1,"aldktwr bwrtw"
NA,NA,"الدكتور فياض الخطيب",NA,NA,"792756327","al-Ḥasnāʾ",11,45,1,"aldktwr fyaD alKTyb"
NA,NA,"الدكتور نجيب كحيل",NA,NA,"792756327","al-Ḥasnāʾ",9,33,1,"aldktwr njyb k7yl"
"3299",NA,"الدكتورجاك آميو",NA,NA,"472450345","Lughat al-ʿArab",1189,5227,1,"aldktwrjak amyw"
"3021",NA,"السيد صدر الدين أبو محمد الحسن العاملي",NA,NA,"472450345","Lughat al-ʿArab",121,546,1,"alsyd Sdr aldyn abw m7md al7sn al3amly"
NA,NA,"السيد عبد القادر العبادي",NA,NA,"4770057679","al-Muqtabas",145,591,1,"alsyd 3bd alQadr al3bady"
NA,NA,"السيد محمد الخضر",NA,NA,"4770057679","al-Muqtabas",3173,14557,1,"alsyd m7md alKDr"
"3330",NA,"السيدعبد القادر المبارك الجزائري",NA,NA,"644997575","al-Ḥaqāʾiq",644,2693,1,"alsyd3bd alQadr almbark aljza5ry"
"743","90051632","السيوطي","1445-10-03","1505-10-18","644997575","al-Ḥaqāʾiq",741,3201,1,"alsywTy"
"3345",NA,"الشماس فرنسيس اوغسطين جبران",NA,NA,"472450345","Lughat al-ʿArab",852,3817,1,"alWmas frnsys awGsTyn jbran"
